skills,salary,english,experience,vacancy_url
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/659901-team-leader-python/
"Python,SQL,PostgreSQL",-1,від       Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/649746-junior-python-database-developer/
Django/Python,-1,Виключно       від       Intermediate,Без досвіду,https://djinni.co/jobs/660125-middle-python-developer-irc225993-/
Odoo,-1,від       Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/359059-odoo-developer-middle-senior-/
"Python,Python / Django,Flask,FastAPI",-1,Виключно       від       Upper-Intermediate,від         2 років досвіду,https://djinni.co/jobs/535041-middle-python-backend-developer/
"Python / Django,Backend development,Django,Flask,FastAPI",-1,Виключно       від       Upper-Intermediate,від         1 року досвіду,https://djinni.co/jobs/474150-strong-junior-python-developer/
-1,-1,від       Upper-Intermediate,Виключно                       від         4.5 років досвіду,https://djinni.co/jobs/660428-senior-back-end-developer-python-/
"Python,ML,AI,NLP,NLU,Image/audio processing",-1,від       Pre-Intermediate,від         2 років досвіду,https://djinni.co/jobs/660433-middle-python-developer/
"algorithm theory,linear algebra.,Python,Machine Learning,Mathematics,C++,C",-1,від       Upper-Intermediate,від         0.5 років досвіду,https://djinni.co/jobs/661494-junior-software-engineer/
-1,-1,від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/573224-senior-python-developer/
Python3,-1,від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/652904-python-django-engineer/
"Python,Python / Django",$5500,від       Pre-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/660454-str-middle-senior-python-developer-2037-03/
"Python,Django",-1,Виключно       від       Upper-Intermediate,від         3 років досвіду,https://djinni.co/jobs/227893-python-django-web-developer-middle-senior/
-1,-1,-1,-1,https://djinni.co/jobs/662133-senior-data-scientist/
"API,Flask / FastAPI / asyncio,SQLAlchemy,Celery,MySQL/PostgreSQL/MongoDB,Kubernetes,Docker",-1,Виключно       від       Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/618884-senior-python-developer/
-1,-1,від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/663679-senior-python-backend-engineer/
-1,-1,Виключно       від       Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/663685-python-rozrobnik/
"Python,AWS S3/RDS/EC2/Fargate/Lambda/S3,AWS SQS,Git,Ansible,Docker,PostgreSQL",-1,Виключно       від       Intermediate,від         5 років досвіду,https://djinni.co/jobs/656412-middle-senior-python-full-stack-developer-ads/
Python,-1,Виключно       від       Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/663966-senior-python-developer-irc225993/
-1,-1,Виключно       від       Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/663681-middle-python-developer/
